"ID"	"Module.Assignment"	"New.Module.Assignment"
"39"	"Zt09_chr_1_00055"	"brown"	"M3"
"40"	"Zt09_chr_1_00057"	"brown"	"M3"
"41"	"Zt09_chr_1_00058"	"cyan"	"M14"
"42"	"Zt09_chr_1_00060"	"brown"	"M3"
"43"	"Zt09_chr_1_00061"	"brown"	"M3"
"44"	"Zt09_chr_1_00062"	"red"	"M6"
"45"	"Zt09_chr_1_00063"	"brown"	"M3"
"46"	"Zt09_chr_1_00072"	"darkgreen"	"M22"
"47"	"Zt09_chr_1_00074"	"grey"	"M0"
"48"	"Zt09_chr_1_00076"	"brown"	"M3"
"49"	"Zt09_chr_1_00077"	"grey"	"M0"
"50"	"Zt09_chr_1_00078"	"darkorange"	"M26"
"51"	"Zt09_chr_1_00079"	"grey"	"M0"
"52"	"Zt09_chr_1_00080"	"grey"	"M0"
"53"	"Zt09_chr_1_00081"	"grey"	"M0"
"54"	"Zt09_chr_1_00082"	"grey"	"M0"
"55"	"Zt09_chr_1_00083"	"grey"	"M0"
"56"	"Zt09_chr_1_00085"	"darkred"	"M21"
"57"	"Zt09_chr_1_00086"	"brown"	"M3"
"58"	"Zt09_chr_1_00087"	"brown"	"M3"
"59"	"Zt09_chr_1_00088"	"brown"	"M3"
"60"	"Zt09_chr_1_00091"	"midnightblue"	"M15"
"61"	"Zt09_chr_1_00095"	"brown"	"M3"
"62"	"Zt09_chr_1_00096"	"brown"	"M3"
"63"	"Zt09_chr_1_00097"	"grey"	"M0"
"64"	"Zt09_chr_1_00098"	"lightcyan"	"M16"
"65"	"Zt09_chr_1_00100"	"grey"	"M0"
"66"	"Zt09_chr_1_00103"	"brown"	"M3"
"67"	"Zt09_chr_1_00104"	"grey"	"M0"
"68"	"Zt09_chr_1_00105"	"grey"	"M0"
"69"	"Zt09_chr_1_00106"	"red"	"M6"
"70"	"Zt09_chr_1_00107"	"grey"	"M0"
"71"	"Zt09_chr_1_00109"	"brown"	"M3"
"72"	"Zt09_chr_1_00110"	"cyan"	"M14"
"73"	"Zt09_chr_1_00111"	"brown"	"M3"
"74"	"Zt09_chr_1_00112"	"lightcyan"	"M16"
"75"	"Zt09_chr_1_00113"	"darkred"	"M21"
"76"	"Zt09_chr_1_00114"	"blue"	"M2"
"77"	"Zt09_chr_1_00115"	"brown"	"M3"
"78"	"Zt09_chr_1_00116"	"brown"	"M3"
"79"	"Zt09_chr_1_00118"	"grey"	"M0"
"80"	"Zt09_chr_1_00120"	"green"	"M5"
"81"	"Zt09_chr_1_00121"	"green"	"M5"
"82"	"Zt09_chr_1_00122"	"red"	"M6"
"83"	"Zt09_chr_1_00123"	"brown"	"M3"
"84"	"Zt09_chr_1_00124"	"midnightblue"	"M15"
"85"	"Zt09_chr_1_00125"	"darkgrey"	"M24"
"86"	"Zt09_chr_1_00126"	"blue"	"M2"
"87"	"Zt09_chr_1_00128"	"pink"	"M8"
"88"	"Zt09_chr_1_00129"	"brown"	"M3"
"89"	"Zt09_chr_1_00130"	"pink"	"M8"
"90"	"Zt09_chr_1_00131"	"grey"	"M0"
"91"	"Zt09_chr_1_00132"	"turquoise"	"M1"
"92"	"Zt09_chr_1_00133"	"lightcyan"	"M16"
"93"	"Zt09_chr_1_00134"	"green"	"M5"
"94"	"Zt09_chr_1_00135"	"grey"	"M0"
"95"	"Zt09_chr_1_00137"	"purple"	"M10"
"96"	"Zt09_chr_1_00138"	"cyan"	"M14"
"97"	"Zt09_chr_1_00139"	"greenyellow"	"M11"
"98"	"Zt09_chr_1_00141"	"grey"	"M0"
"99"	"Zt09_chr_1_00142"	"darkorange"	"M26"
"100"	"Zt09_chr_1_00144"	"green"	"M5"
"101"	"Zt09_chr_1_00145"	"grey"	"M0"
"102"	"Zt09_chr_1_00146"	"blue"	"M2"
"103"	"Zt09_chr_1_00147"	"grey"	"M0"
"104"	"Zt09_chr_1_00148"	"turquoise"	"M1"
"105"	"Zt09_chr_1_00149"	"turquoise"	"M1"
"106"	"Zt09_chr_1_00150"	"turquoise"	"M1"
"107"	"Zt09_chr_1_00151"	"turquoise"	"M1"
"108"	"Zt09_chr_1_00153"	"darkgrey"	"M24"
"109"	"Zt09_chr_1_00154"	"lightgreen"	"M18"
"110"	"Zt09_chr_1_00157"	"grey"	"M0"
"111"	"Zt09_chr_1_00158"	"turquoise"	"M1"
"112"	"Zt09_chr_1_00159"	"turquoise"	"M1"
"113"	"Zt09_chr_1_00160"	"midnightblue"	"M15"
"114"	"Zt09_chr_1_00161"	"pink"	"M8"
"115"	"Zt09_chr_1_00162"	"grey"	"M0"
"116"	"Zt09_chr_1_00163"	"lightcyan"	"M16"
"117"	"Zt09_chr_1_00165"	"darkorange"	"M26"
"118"	"Zt09_chr_1_00166"	"darkorange"	"M26"
"119"	"Zt09_chr_1_00167"	"green"	"M5"
"120"	"Zt09_chr_1_00168"	"darkturquoise"	"M23"
"121"	"Zt09_chr_1_00169"	"blue"	"M2"
"122"	"Zt09_chr_1_00170"	"grey"	"M0"
"123"	"Zt09_chr_1_00172"	"brown"	"M3"
"124"	"Zt09_chr_1_00173"	"blue"	"M2"
"125"	"Zt09_chr_1_00174"	"brown"	"M3"
"126"	"Zt09_chr_1_00175"	"midnightblue"	"M15"
"127"	"Zt09_chr_1_00177"	"darkgrey"	"M24"
"128"	"Zt09_chr_1_00179"	"lightcyan"	"M16"
"129"	"Zt09_chr_1_00180"	"pink"	"M8"
"130"	"Zt09_chr_1_00181"	"brown"	"M3"
"131"	"Zt09_chr_1_00182"	"turquoise"	"M1"
"132"	"Zt09_chr_1_00183"	"grey"	"M0"
"133"	"Zt09_chr_1_00184"	"turquoise"	"M1"
"134"	"Zt09_chr_1_00185"	"darkturquoise"	"M23"
"135"	"Zt09_chr_1_00187"	"salmon"	"M13"
"136"	"Zt09_chr_1_00188"	"greenyellow"	"M11"
"137"	"Zt09_chr_1_00189"	"red"	"M6"
"138"	"Zt09_chr_1_00190"	"salmon"	"M13"
"139"	"Zt09_chr_1_00191"	"blue"	"M2"
"140"	"Zt09_chr_1_00192"	"green"	"M5"
"141"	"Zt09_chr_1_00193"	"green"	"M5"
"142"	"Zt09_chr_1_00194"	"green"	"M5"
"143"	"Zt09_chr_1_00195"	"blue"	"M2"
"144"	"Zt09_chr_1_00196"	"turquoise"	"M1"
"145"	"Zt09_chr_1_00197"	"darkorange"	"M26"
"146"	"Zt09_chr_1_00198"	"grey"	"M0"
"147"	"Zt09_chr_1_00199"	"midnightblue"	"M15"
"148"	"Zt09_chr_1_00200"	"greenyellow"	"M11"
"149"	"Zt09_chr_1_00201"	"brown"	"M3"
"150"	"Zt09_chr_1_00202"	"brown"	"M3"
"151"	"Zt09_chr_1_00203"	"cyan"	"M14"
"152"	"Zt09_chr_1_00204"	"lightgreen"	"M18"
"153"	"Zt09_chr_1_00205"	"blue"	"M2"
"154"	"Zt09_chr_1_00206"	"greenyellow"	"M11"
"155"	"Zt09_chr_1_00207"	"green"	"M5"
"156"	"Zt09_chr_1_00208"	"grey"	"M0"
"157"	"Zt09_chr_1_00209"	"red"	"M6"
"158"	"Zt09_chr_1_00210"	"pink"	"M8"
"159"	"Zt09_chr_1_00211"	"grey"	"M0"
"160"	"Zt09_chr_1_00212"	"grey"	"M0"
"161"	"Zt09_chr_1_00213"	"cyan"	"M14"
"162"	"Zt09_chr_1_00214"	"green"	"M5"
"163"	"Zt09_chr_1_00216"	"brown"	"M3"
"164"	"Zt09_chr_1_00217"	"green"	"M5"
"165"	"Zt09_chr_1_00218"	"darkred"	"M21"
"166"	"Zt09_chr_1_00219"	"red"	"M6"
"167"	"Zt09_chr_1_00222"	"grey"	"M0"
"168"	"Zt09_chr_1_00223"	"blue"	"M2"
"169"	"Zt09_chr_1_00224"	"red"	"M6"
"170"	"Zt09_chr_1_00225"	"purple"	"M10"
"171"	"Zt09_chr_1_00226"	"pink"	"M8"
"172"	"Zt09_chr_1_00227"	"grey"	"M0"
"173"	"Zt09_chr_1_00231"	"brown"	"M3"
"174"	"Zt09_chr_1_00232"	"darkorange"	"M26"
"175"	"Zt09_chr_1_00233"	"turquoise"	"M1"
"176"	"Zt09_chr_1_00234"	"grey"	"M0"
"177"	"Zt09_chr_1_00235"	"grey"	"M0"
"178"	"Zt09_chr_1_00236"	"brown"	"M3"
"179"	"Zt09_chr_1_00237"	"turquoise"	"M1"
"180"	"Zt09_chr_1_00238"	"grey"	"M0"
"181"	"Zt09_chr_1_00239"	"brown"	"M3"
"182"	"Zt09_chr_1_00240"	"brown"	"M3"
"183"	"Zt09_chr_1_00241"	"pink"	"M8"
"184"	"Zt09_chr_1_00243"	"green"	"M5"
"185"	"Zt09_chr_1_00244"	"blue"	"M2"
"186"	"Zt09_chr_1_00246"	"darkred"	"M21"
"187"	"Zt09_chr_1_00247"	"blue"	"M2"
"188"	"Zt09_chr_1_00248"	"brown"	"M3"
"189"	"Zt09_chr_1_00249"	"darkgrey"	"M24"
"190"	"Zt09_chr_1_00252"	"brown"	"M3"
"191"	"Zt09_chr_1_00253"	"darkorange"	"M26"
"192"	"Zt09_chr_1_00254"	"grey"	"M0"
"193"	"Zt09_chr_1_00255"	"turquoise"	"M1"
"194"	"Zt09_chr_1_00256"	"turquoise"	"M1"
"195"	"Zt09_chr_1_00257"	"pink"	"M8"
"196"	"Zt09_chr_1_00258"	"grey"	"M0"
"197"	"Zt09_chr_1_00259"	"green"	"M5"
"198"	"Zt09_chr_1_00260"	"turquoise"	"M1"
"199"	"Zt09_chr_1_00261"	"grey"	"M0"
"200"	"Zt09_chr_1_00262"	"pink"	"M8"
"201"	"Zt09_chr_1_00263"	"green"	"M5"
"202"	"Zt09_chr_1_00264"	"salmon"	"M13"
"203"	"Zt09_chr_1_00265"	"turquoise"	"M1"
"204"	"Zt09_chr_1_00266"	"grey"	"M0"
"205"	"Zt09_chr_1_00267"	"darkorange"	"M26"
"206"	"Zt09_chr_1_00268"	"green"	"M5"
"207"	"Zt09_chr_1_00269"	"turquoise"	"M1"
"208"	"Zt09_chr_1_00270"	"grey"	"M0"
"209"	"Zt09_chr_1_00271"	"blue"	"M2"
"210"	"Zt09_chr_1_00272"	"green"	"M5"
"211"	"Zt09_chr_1_00273"	"brown"	"M3"
"212"	"Zt09_chr_1_00274"	"purple"	"M10"
"213"	"Zt09_chr_1_00275"	"turquoise"	"M1"
"214"	"Zt09_chr_1_00276"	"grey"	"M0"
"215"	"Zt09_chr_1_00277"	"midnightblue"	"M15"
"216"	"Zt09_chr_1_00278"	"brown"	"M3"
"217"	"Zt09_chr_1_00279"	"blue"	"M2"
"218"	"Zt09_chr_1_00280"	"red"	"M6"
"219"	"Zt09_chr_1_00281"	"green"	"M5"
"220"	"Zt09_chr_1_00282"	"green"	"M5"
"221"	"Zt09_chr_1_00283"	"green"	"M5"
"222"	"Zt09_chr_1_00285"	"turquoise"	"M1"
"223"	"Zt09_chr_1_00286"	"red"	"M6"
"224"	"Zt09_chr_1_00288"	"grey"	"M0"
"225"	"Zt09_chr_1_00289"	"brown"	"M3"
"226"	"Zt09_chr_1_00291"	"darkorange"	"M26"
"227"	"Zt09_chr_1_00292"	"darkred"	"M21"
"228"	"Zt09_chr_1_00293"	"turquoise"	"M1"
"229"	"Zt09_chr_1_00294"	"brown"	"M3"
"230"	"Zt09_chr_1_00295"	"brown"	"M3"
"231"	"Zt09_chr_1_00296"	"turquoise"	"M1"
"232"	"Zt09_chr_1_00297"	"green"	"M5"
"233"	"Zt09_chr_1_00298"	"brown"	"M3"
"234"	"Zt09_chr_1_00300"	"brown"	"M3"
"235"	"Zt09_chr_1_00301"	"grey"	"M0"
"236"	"Zt09_chr_1_00302"	"green"	"M5"
"237"	"Zt09_chr_1_00303"	"darkorange"	"M26"
"238"	"Zt09_chr_1_00304"	"greenyellow"	"M11"
"239"	"Zt09_chr_1_00305"	"lightgreen"	"M18"
"240"	"Zt09_chr_1_00306"	"pink"	"M8"
"241"	"Zt09_chr_1_00307"	"turquoise"	"M1"
"242"	"Zt09_chr_1_00308"	"darkorange"	"M26"
"243"	"Zt09_chr_1_00309"	"turquoise"	"M1"
"244"	"Zt09_chr_1_00310"	"turquoise"	"M1"
"245"	"Zt09_chr_1_00311"	"turquoise"	"M1"
"246"	"Zt09_chr_1_00312"	"turquoise"	"M1"
"247"	"Zt09_chr_1_00313"	"brown"	"M3"
"248"	"Zt09_chr_1_00314"	"brown"	"M3"
"249"	"Zt09_chr_1_00315"	"green"	"M5"
"250"	"Zt09_chr_1_00316"	"midnightblue"	"M15"
"251"	"Zt09_chr_1_00317"	"green"	"M5"
"252"	"Zt09_chr_1_00318"	"grey"	"M0"
"253"	"Zt09_chr_1_00319"	"brown"	"M3"
"254"	"Zt09_chr_1_00320"	"turquoise"	"M1"
"255"	"Zt09_chr_1_00321"	"green"	"M5"
"256"	"Zt09_chr_1_00322"	"brown"	"M3"
"257"	"Zt09_chr_1_00323"	"cyan"	"M14"
"258"	"Zt09_chr_1_00325"	"turquoise"	"M1"
"259"	"Zt09_chr_1_00326"	"grey"	"M0"
"260"	"Zt09_chr_1_00327"	"grey"	"M0"
"261"	"Zt09_chr_1_00328"	"blue"	"M2"
"262"	"Zt09_chr_1_00329"	"green"	"M5"
"263"	"Zt09_chr_1_00330"	"brown"	"M3"
"264"	"Zt09_chr_1_00332"	"brown"	"M3"
"265"	"Zt09_chr_1_00333"	"green"	"M5"
"266"	"Zt09_chr_1_00334"	"red"	"M6"
"267"	"Zt09_chr_1_00335"	"grey"	"M0"
"268"	"Zt09_chr_1_00336"	"grey"	"M0"
"269"	"Zt09_chr_1_00337"	"grey"	"M0"
"270"	"Zt09_chr_1_00338"	"blue"	"M2"
"271"	"Zt09_chr_1_00339"	"red"	"M6"
"272"	"Zt09_chr_1_00340"	"grey"	"M0"
"273"	"Zt09_chr_1_00341"	"darkorange"	"M26"
"274"	"Zt09_chr_1_00342"	"darkgrey"	"M24"
"275"	"Zt09_chr_1_00343"	"turquoise"	"M1"
"276"	"Zt09_chr_1_00344"	"lightgreen"	"M18"
"277"	"Zt09_chr_1_00345"	"turquoise"	"M1"
"278"	"Zt09_chr_1_00346"	"grey"	"M0"
"279"	"Zt09_chr_1_00347"	"brown"	"M3"
"280"	"Zt09_chr_1_00348"	"darkorange"	"M26"
"281"	"Zt09_chr_1_00349"	"purple"	"M10"
"282"	"Zt09_chr_1_00350"	"red"	"M6"
"283"	"Zt09_chr_1_00351"	"green"	"M5"
"284"	"Zt09_chr_1_00352"	"lightgreen"	"M18"
"285"	"Zt09_chr_1_00353"	"turquoise"	"M1"
"286"	"Zt09_chr_1_00354"	"lightgreen"	"M18"
"287"	"Zt09_chr_1_00355"	"purple"	"M10"
"288"	"Zt09_chr_1_00356"	"midnightblue"	"M15"
"289"	"Zt09_chr_1_00357"	"grey"	"M0"
"290"	"Zt09_chr_1_00358"	"grey"	"M0"
"291"	"Zt09_chr_1_00359"	"grey"	"M0"
"292"	"Zt09_chr_1_00360"	"brown"	"M3"
"293"	"Zt09_chr_1_00361"	"lightgreen"	"M18"
"294"	"Zt09_chr_1_00363"	"midnightblue"	"M15"
"295"	"Zt09_chr_1_00364"	"brown"	"M3"
"296"	"Zt09_chr_1_00365"	"darkorange"	"M26"
"297"	"Zt09_chr_1_00366"	"green"	"M5"
"298"	"Zt09_chr_1_00367"	"darkgrey"	"M24"
"299"	"Zt09_chr_1_00368"	"green"	"M5"
"300"	"Zt09_chr_1_00369"	"darkgrey"	"M24"
"301"	"Zt09_chr_1_00370"	"green"	"M5"
"302"	"Zt09_chr_1_00371"	"grey"	"M0"
"303"	"Zt09_chr_1_00372"	"purple"	"M10"
"304"	"Zt09_chr_1_00373"	"darkorange"	"M26"
"305"	"Zt09_chr_1_00374"	"blue"	"M2"
"306"	"Zt09_chr_1_00375"	"grey"	"M0"
"307"	"Zt09_chr_1_00376"	"turquoise"	"M1"
"308"	"Zt09_chr_1_00377"	"pink"	"M8"
"309"	"Zt09_chr_1_00379"	"grey"	"M0"
"310"	"Zt09_chr_1_00380"	"salmon"	"M13"
"311"	"Zt09_chr_1_00381"	"brown"	"M3"
"312"	"Zt09_chr_1_00382"	"brown"	"M3"
"313"	"Zt09_chr_1_00383"	"green"	"M5"
"314"	"Zt09_chr_1_00384"	"grey"	"M0"
"315"	"Zt09_chr_1_00385"	"darkorange"	"M26"
"316"	"Zt09_chr_1_00386"	"grey"	"M0"
"317"	"Zt09_chr_1_00387"	"blue"	"M2"
"318"	"Zt09_chr_1_00388"	"grey"	"M0"
"319"	"Zt09_chr_1_00389"	"pink"	"M8"
"320"	"Zt09_chr_1_00390"	"lightgreen"	"M18"
"321"	"Zt09_chr_1_00391"	"lightgreen"	"M18"
"322"	"Zt09_chr_1_00392"	"green"	"M5"
"323"	"Zt09_chr_1_00393"	"red"	"M6"
"324"	"Zt09_chr_1_00394"	"turquoise"	"M1"
"325"	"Zt09_chr_1_00395"	"blue"	"M2"
"326"	"Zt09_chr_1_00396"	"pink"	"M8"
"327"	"Zt09_chr_1_00397"	"red"	"M6"
"328"	"Zt09_chr_1_00398"	"brown"	"M3"
"329"	"Zt09_chr_1_00399"	"green"	"M5"
"330"	"Zt09_chr_1_00401"	"grey"	"M0"
"331"	"Zt09_chr_1_00402"	"brown"	"M3"
"332"	"Zt09_chr_1_00403"	"greenyellow"	"M11"
"333"	"Zt09_chr_1_00405"	"grey"	"M0"
"334"	"Zt09_chr_1_00406"	"darkred"	"M21"
"335"	"Zt09_chr_1_00409"	"grey"	"M0"
"336"	"Zt09_chr_1_00410"	"midnightblue"	"M15"
"337"	"Zt09_chr_1_00411"	"turquoise"	"M1"
"338"	"Zt09_chr_1_00412"	"grey"	"M0"
"339"	"Zt09_chr_1_00413"	"blue"	"M2"
"340"	"Zt09_chr_1_00414"	"blue"	"M2"
"341"	"Zt09_chr_1_00415"	"grey"	"M0"
"342"	"Zt09_chr_1_00416"	"grey"	"M0"
"343"	"Zt09_chr_1_00419"	"greenyellow"	"M11"
"344"	"Zt09_chr_1_00420"	"turquoise"	"M1"
"345"	"Zt09_chr_1_00421"	"midnightblue"	"M15"
"346"	"Zt09_chr_1_00422"	"grey"	"M0"
"347"	"Zt09_chr_1_00423"	"grey"	"M0"
"348"	"Zt09_chr_1_00424"	"grey"	"M0"
"349"	"Zt09_chr_1_00425"	"lightcyan"	"M16"
"350"	"Zt09_chr_1_00426"	"turquoise"	"M1"
"351"	"Zt09_chr_1_00427"	"grey"	"M0"
"352"	"Zt09_chr_1_00428"	"lightgreen"	"M18"
"353"	"Zt09_chr_1_00429"	"darkturquoise"	"M23"
"354"	"Zt09_chr_1_00430"	"midnightblue"	"M15"
"355"	"Zt09_chr_1_00431"	"grey"	"M0"
"356"	"Zt09_chr_1_00432"	"darkred"	"M21"
"357"	"Zt09_chr_1_00433"	"grey"	"M0"
"358"	"Zt09_chr_1_00434"	"grey"	"M0"
"359"	"Zt09_chr_1_00435"	"grey"	"M0"
"360"	"Zt09_chr_1_00436"	"green"	"M5"
"361"	"Zt09_chr_1_00437"	"cyan"	"M14"
"362"	"Zt09_chr_1_00438"	"brown"	"M3"
"363"	"Zt09_chr_1_00439"	"red"	"M6"
"364"	"Zt09_chr_1_00440"	"brown"	"M3"
"365"	"Zt09_chr_1_00441"	"green"	"M5"
"366"	"Zt09_chr_1_00442"	"green"	"M5"
"367"	"Zt09_chr_1_00444"	"brown"	"M3"
"368"	"Zt09_chr_1_00445"	"darkgrey"	"M24"
"369"	"Zt09_chr_1_00448"	"darkgreen"	"M22"
"370"	"Zt09_chr_1_00449"	"brown"	"M3"
"371"	"Zt09_chr_1_00450"	"green"	"M5"
"372"	"Zt09_chr_1_00451"	"green"	"M5"
"373"	"Zt09_chr_1_00452"	"brown"	"M3"
"374"	"Zt09_chr_1_00453"	"grey"	"M0"
"375"	"Zt09_chr_1_00454"	"blue"	"M2"
"376"	"Zt09_chr_1_00455"	"grey"	"M0"
"377"	"Zt09_chr_1_00456"	"brown"	"M3"
"378"	"Zt09_chr_1_00457"	"greenyellow"	"M11"
"379"	"Zt09_chr_1_00458"	"brown"	"M3"
"380"	"Zt09_chr_1_00459"	"blue"	"M2"
"381"	"Zt09_chr_1_00460"	"green"	"M5"
"382"	"Zt09_chr_1_00461"	"pink"	"M8"
"383"	"Zt09_chr_1_00463"	"brown"	"M3"
"384"	"Zt09_chr_1_00464"	"blue"	"M2"
"385"	"Zt09_chr_1_00465"	"grey"	"M0"
"386"	"Zt09_chr_1_00466"	"greenyellow"	"M11"
"387"	"Zt09_chr_1_00467"	"brown"	"M3"
"388"	"Zt09_chr_1_00470"	"lightcyan"	"M16"
"389"	"Zt09_chr_1_00471"	"grey"	"M0"
"390"	"Zt09_chr_1_00472"	"brown"	"M3"
"391"	"Zt09_chr_1_00473"	"cyan"	"M14"
"392"	"Zt09_chr_1_00474"	"grey"	"M0"
"393"	"Zt09_chr_1_00475"	"midnightblue"	"M15"
"394"	"Zt09_chr_1_00476"	"brown"	"M3"
"395"	"Zt09_chr_1_00477"	"midnightblue"	"M15"
"396"	"Zt09_chr_1_00478"	"grey"	"M0"
"397"	"Zt09_chr_1_00479"	"blue"	"M2"
"398"	"Zt09_chr_1_00480"	"darkorange"	"M26"
"399"	"Zt09_chr_1_00481"	"lightcyan"	"M16"
"400"	"Zt09_chr_1_00482"	"grey"	"M0"
"401"	"Zt09_chr_1_00483"	"greenyellow"	"M11"
"402"	"Zt09_chr_1_00484"	"green"	"M5"
"403"	"Zt09_chr_1_00485"	"turquoise"	"M1"
"404"	"Zt09_chr_1_00486"	"brown"	"M3"
"405"	"Zt09_chr_1_00487"	"grey"	"M0"
"406"	"Zt09_chr_1_00488"	"grey"	"M0"
"407"	"Zt09_chr_1_00489"	"grey"	"M0"
"408"	"Zt09_chr_1_00490"	"darkorange"	"M26"
"409"	"Zt09_chr_1_00491"	"red"	"M6"
"410"	"Zt09_chr_1_00492"	"blue"	"M2"
"411"	"Zt09_chr_1_00493"	"midnightblue"	"M15"
"412"	"Zt09_chr_1_00494"	"blue"	"M2"
"413"	"Zt09_chr_1_00495"	"pink"	"M8"
"414"	"Zt09_chr_1_00496"	"brown"	"M3"
"415"	"Zt09_chr_1_00497"	"brown"	"M3"
"416"	"Zt09_chr_1_00498"	"greenyellow"	"M11"
"417"	"Zt09_chr_1_00499"	"grey"	"M0"
"418"	"Zt09_chr_1_00500"	"lightgreen"	"M18"
"419"	"Zt09_chr_1_00501"	"grey"	"M0"
"420"	"Zt09_chr_1_00503"	"green"	"M5"
"421"	"Zt09_chr_1_00504"	"salmon"	"M13"
"422"	"Zt09_chr_1_00505"	"lightgreen"	"M18"
"423"	"Zt09_chr_1_00507"	"green"	"M5"
"424"	"Zt09_chr_1_00508"	"grey"	"M0"
"425"	"Zt09_chr_1_00509"	"grey"	"M0"
"426"	"Zt09_chr_1_00510"	"green"	"M5"
"427"	"Zt09_chr_1_00511"	"grey"	"M0"
"428"	"Zt09_chr_1_00512"	"grey"	"M0"
"429"	"Zt09_chr_1_00513"	"blue"	"M2"
"430"	"Zt09_chr_1_00514"	"grey"	"M0"
"431"	"Zt09_chr_1_00515"	"grey"	"M0"
"432"	"Zt09_chr_1_00516"	"greenyellow"	"M11"
"433"	"Zt09_chr_1_00517"	"midnightblue"	"M15"
"434"	"Zt09_chr_1_00518"	"blue"	"M2"
"435"	"Zt09_chr_1_00519"	"greenyellow"	"M11"
"436"	"Zt09_chr_1_00520"	"red"	"M6"
"437"	"Zt09_chr_1_00521"	"darkorange"	"M26"
"438"	"Zt09_chr_1_00522"	"turquoise"	"M1"
"439"	"Zt09_chr_1_00523"	"blue"	"M2"
"440"	"Zt09_chr_1_00524"	"darkgreen"	"M22"
"441"	"Zt09_chr_1_00525"	"brown"	"M3"
"442"	"Zt09_chr_1_00526"	"turquoise"	"M1"
"443"	"Zt09_chr_1_00527"	"red"	"M6"
"444"	"Zt09_chr_1_00528"	"pink"	"M8"
"445"	"Zt09_chr_1_00529"	"midnightblue"	"M15"
"446"	"Zt09_chr_1_00530"	"red"	"M6"
"447"	"Zt09_chr_1_00531"	"brown"	"M3"
"448"	"Zt09_chr_1_00532"	"red"	"M6"
"449"	"Zt09_chr_1_00534"	"green"	"M5"
"450"	"Zt09_chr_1_00535"	"green"	"M5"
"451"	"Zt09_chr_1_00536"	"blue"	"M2"
"452"	"Zt09_chr_1_00537"	"blue"	"M2"
"453"	"Zt09_chr_1_00538"	"blue"	"M2"
"454"	"Zt09_chr_1_00539"	"grey"	"M0"
"455"	"Zt09_chr_1_00540"	"purple"	"M10"
"456"	"Zt09_chr_1_00541"	"brown"	"M3"
"457"	"Zt09_chr_1_00542"	"grey"	"M0"
"458"	"Zt09_chr_1_00543"	"grey"	"M0"
"459"	"Zt09_chr_1_00544"	"brown"	"M3"
"460"	"Zt09_chr_1_00545"	"brown"	"M3"
"461"	"Zt09_chr_1_00546"	"red"	"M6"
"462"	"Zt09_chr_1_00547"	"red"	"M6"
"463"	"Zt09_chr_1_00548"	"green"	"M5"
"464"	"Zt09_chr_1_00549"	"grey"	"M0"
"465"	"Zt09_chr_1_00550"	"red"	"M6"
"466"	"Zt09_chr_1_00551"	"darkred"	"M21"
"467"	"Zt09_chr_1_00552"	"red"	"M6"
"468"	"Zt09_chr_1_00553"	"blue"	"M2"
"469"	"Zt09_chr_1_00554"	"grey"	"M0"
"470"	"Zt09_chr_1_00555"	"grey"	"M0"
"471"	"Zt09_chr_1_00556"	"green"	"M5"
