"kWithin"	"Module"
"Zt09_chr_5_00500"	0.766830878039063	"M10"
"Zt09_chr_8_00419"	0.70246851788528	"M10"
"Zt09_chr_1_00028"	1	"M11"
"Zt09_chr_1_01930"	0.870418928787895	"M11"
"Zt09_chr_11_00101"	0.86987420929347	"M11"
"Zt09_chr_7_00463"	0.868114112975477	"M11"
"Zt09_chr_4_00386"	0.854181159626929	"M11"
"Zt09_chr_1_00516"	0.818988449944316	"M11"
"Zt09_chr_1_00304"	0.794334613042246	"M11"
"Zt09_chr_7_00206"	0.746130811529394	"M11"
"Zt09_chr_1_02025"	0.734033942206949	"M11"
"Zt09_chr_10_00496"	1	"M13"
"Zt09_chr_10_00488"	0.85720387975815	"M13"
"Zt09_chr_6_00017"	0.841468590858788	"M13"
"Zt09_chr_10_00491"	0.821373455364166	"M13"
"Zt09_chr_6_00018"	0.782520382659888	"M13"
"Zt09_chr_6_00024"	0.776558570358257	"M13"
"Zt09_chr_6_00031"	0.714513374013737	"M13"
"Zt09_chr_10_00489"	0.707865022863467	"M13"
"Zt09_chr_4_00785"	1	"M14"
"Zt09_chr_6_00717"	0.910842836114914	"M14"
"Zt09_chr_5_00093"	0.880905124890576	"M14"
"Zt09_chr_9_00213"	0.843401728152757	"M14"
"Zt09_chr_9_00007"	0.834702115180787	"M14"
"Zt09_chr_8_00006"	0.805255786810224	"M14"
"Zt09_chr_2_00137"	0.804129667611848	"M14"
"Zt09_chr_5_00017"	0.723852468660644	"M14"
"Zt09_chr_8_00503"	1	"M15"
"Zt09_chr_2_00180"	0.805324368290428	"M15"
"Zt09_chr_12_00154"	0.763242325751644	"M15"
"Zt09_chr_1_01412"	0.761411424316418	"M15"
"Zt09_chr_11_00145"	0.734811473250596	"M15"
"Zt09_chr_9_00596"	0.727527106314646	"M15"
"Zt09_chr_9_00482"	1	"M16"
"Zt09_chr_2_00221"	0.865583970260872	"M16"
"Zt09_chr_1_01143"	0.783731525191569	"M16"
"Zt09_chr_2_00339"	0.76104537906629	"M16"
"Zt09_chr_1_01676"	0.741714942353	"M16"
"Zt09_chr_4_00314"	1	"M18"
"Zt09_chr_1_00505"	0.830207482141792	"M18"
"Zt09_chr_9_00294"	0.761805027701244	"M18"
"Zt09_chr_6_00329"	1	"M2"
"Zt09_chr_2_00892"	0.989137203705728	"M2"
"Zt09_chr_9_00078"	0.986212819837629	"M2"
"Zt09_chr_7_00378"	0.979713319895363	"M2"
"Zt09_chr_1_01938"	0.97908205112327	"M2"
"Zt09_chr_6_00488"	0.96591812293663	"M2"
"Zt09_chr_6_00208"	0.964259379336537	"M2"
"Zt09_chr_13_00149"	0.963107214361924	"M2"
"Zt09_chr_1_01482"	0.953203515032939	"M2"
"Zt09_chr_1_00169"	0.944611413335875	"M2"
"Zt09_chr_2_00190"	0.930529513462617	"M2"
"Zt09_chr_5_00653"	0.91834891905332	"M2"
"Zt09_chr_1_01851"	0.918024828145292	"M2"
"Zt09_chr_7_00209"	0.912520107241666	"M2"
"Zt09_chr_11_00047"	0.909682028882563	"M2"
"Zt09_chr_6_00460"	0.909024489008977	"M2"
"Zt09_chr_8_00366"	0.904985516628441	"M2"
"Zt09_chr_8_00362"	0.893014278673542	"M2"
"Zt09_chr_3_00549"	0.892455243661315	"M2"
"Zt09_chr_12_00270"	0.888613851942897	"M2"
"Zt09_chr_1_00932"	0.885762167903915	"M2"
"Zt09_chr_1_01716"	0.884098743418466	"M2"
"Zt09_chr_10_00334"	0.881104731593473	"M2"
"Zt09_chr_11_00238"	0.880746934629542	"M2"
"Zt09_chr_2_01070"	0.880261761019234	"M2"
"Zt09_chr_5_00804"	0.878021253814527	"M2"
"Zt09_chr_12_00287"	0.876000833466091	"M2"
"Zt09_chr_2_00958"	0.867283772491292	"M2"
"Zt09_chr_6_00541"	0.86353530711329	"M2"
"Zt09_chr_12_00377"	0.841287350414497	"M2"
"Zt09_chr_4_00528"	0.81912817099355	"M2"
"Zt09_chr_10_00336"	0.812553454782313	"M2"
"Zt09_chr_8_00103"	0.806447805226792	"M2"
"Zt09_chr_3_01043"	0.802755001002077	"M2"
"Zt09_chr_2_00447"	0.801060496440669	"M2"
"Zt09_chr_1_00983"	0.79698519507398	"M2"
"Zt09_chr_1_00114"	0.789258223977048	"M2"
"Zt09_chr_5_00108"	0.786854653046753	"M2"
"Zt09_chr_1_00731"	0.783030257101721	"M2"
"Zt09_chr_2_00397"	0.764859268482842	"M2"
"Zt09_chr_1_00643"	0.75820785969179	"M2"
"Zt09_chr_11_00391"	0.757105975818191	"M2"
"Zt09_chr_10_00058"	0.751371495632864	"M2"
"Zt09_chr_9_00509"	0.727934332913125	"M2"
"Zt09_chr_1_00205"	0.726537772011228	"M2"
"Zt09_chr_1_00862"	0.724660359767196	"M2"
"Zt09_chr_7_00134"	0.720912130968265	"M2"
"Zt09_chr_3_00418"	0.711136211020512	"M2"
"Zt09_chr_1_01135"	0.710761109480155	"M2"
"Zt09_chr_5_00780"	0.708057571116955	"M2"
"Zt09_chr_2_01060"	1	"M21"
"Zt09_chr_4_00250"	0.915677566721263	"M21"
"Zt09_chr_1_00650"	0.899894912063556	"M21"
"Zt09_chr_5_00342"	0.851066550311938	"M21"
"Zt09_chr_1_01585"	0.712572440078679	"M21"
"Zt09_chr_9_00564"	1	"M22"
"Zt09_chr_11_00277"	0.917518727972201	"M22"
"Zt09_chr_1_01959"	0.893571333273069	"M22"
"Zt09_chr_8_00568"	0.886857400479448	"M22"
"Zt09_chr_7_00170"	0.852890187351487	"M22"
"Zt09_chr_10_00176"	0.759866485798005	"M22"
"Zt09_chr_7_00580"	0.708212501421012	"M22"
"Zt09_chr_5_00151"	0.700211987290216	"M22"
"Zt09_chr_14_00098"	1	"M23"
"Zt09_chr_15_00037"	0.959873717571489	"M23"
"Zt09_chr_14_00018"	0.927400157955393	"M23"
"Zt09_chr_13_00192"	1	"M24"
"Zt09_chr_1_00716"	0.963550819614183	"M24"
"Zt09_chr_5_00268"	0.841979602688237	"M24"
"Zt09_chr_12_00192"	0.730869160243633	"M24"
"Zt09_chr_12_00418"	0.70293088260138	"M24"
"Zt09_chr_2_00694"	1	"M26"
"Zt09_chr_5_00416"	0.990161698550015	"M26"
"Zt09_chr_8_00676"	0.984980164576525	"M26"
"Zt09_chr_9_00493"	0.978100145490104	"M26"
"Zt09_chr_12_00222"	0.977020872571676	"M26"
"Zt09_chr_9_00440"	0.950414252256586	"M26"
"Zt09_chr_1_01103"	0.896261574045725	"M26"
"Zt09_chr_6_00539"	0.87105585957243	"M26"
"Zt09_chr_8_00731"	0.856882072589659	"M26"
"Zt09_chr_4_00505"	0.848177290331479	"M26"
"Zt09_chr_5_00763"	0.803765411486738	"M26"
"Zt09_chr_4_00167"	0.771291807000283	"M26"
"Zt09_chr_1_00142"	0.763141261697671	"M26"
"Zt09_chr_10_00428"	0.750293628622803	"M26"
"Zt09_chr_7_00144"	0.734357567805681	"M26"
"Zt09_chr_4_00168"	0.720674116366265	"M26"
"Zt09_chr_1_00078"	0.716455970061174	"M26"
"Zt09_chr_6_00648"	1	"M3"
"Zt09_chr_1_00087"	0.957127697041984	"M3"
"Zt09_chr_5_00420"	0.90383519308676	"M3"
"Zt09_chr_12_00051"	0.862356345360357	"M3"
"Zt09_chr_6_00676"	0.742742099941449	"M3"
"Zt09_chr_7_00106"	1	"M5"
"Zt09_chr_1_02072"	0.916845953556095	"M5"
"Zt09_chr_6_00146"	0.902680296290543	"M5"
"Zt09_chr_9_00107"	0.901959258763888	"M5"
"Zt09_chr_4_00335"	0.893187125720403	"M5"
"Zt09_chr_1_01333"	0.844833658718499	"M5"
"Zt09_chr_6_00595"	0.81980936188512	"M5"
"Zt09_chr_1_01007"	0.806120519986902	"M5"
"Zt09_chr_11_00075"	0.748418608724607	"M5"
"Zt09_chr_6_00520"	0.720176365886136	"M5"
"Zt09_chr_4_00737"	0.714104699984932	"M5"
"Zt09_chr_1_00741"	1	"M6"
"Zt09_chr_1_01629"	0.890586842289346	"M6"
"Zt09_chr_4_00178"	0.886512643204847	"M6"
"Zt09_chr_8_00230"	0.868616013047698	"M6"
"Zt09_chr_7_00430"	0.785005787526695	"M6"
"Zt09_chr_1_02088"	0.779415490973114	"M6"
"Zt09_chr_3_00119"	0.772925416767763	"M6"
"Zt09_chr_1_00334"	0.771001363884707	"M6"
"Zt09_chr_2_00895"	0.753662635269946	"M6"
"Zt09_chr_3_00641"	0.74384939207539	"M6"
"Zt09_chr_4_00017"	0.738806402363216	"M6"
"Zt09_chr_2_00449"	0.72661669617133	"M6"
"Zt09_chr_1_01163"	0.726597859136348	"M6"
"Zt09_chr_4_00150"	0.72362828223252	"M6"
"Zt09_chr_2_00375"	0.723597655583471	"M6"
"Zt09_chr_3_00191"	0.719426005170011	"M6"
"Zt09_chr_11_00079"	0.707503995532639	"M6"
"Zt09_chr_13_00143"	0.701341369440549	"M6"
"Zt09_chr_5_00689"	0.701055612139264	"M6"
"Zt09_chr_3_00574"	1	"M8"
"Zt09_chr_4_00441"	0.871852021351667	"M8"
"Zt09_chr_5_00747"	0.870418065688808	"M8"
"Zt09_chr_1_02084"	0.84649121121271	"M8"
"Zt09_chr_1_00960"	0.782515193193597	"M8"
"Zt09_chr_3_00077"	0.732830735589164	"M8"
