"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","moduleColour","moduleNumber"
"GO:1901575","organic substance catabolic process","51/231","196/2102",3.23682912871704e-10,8.9822008321898e-08,8.006893107879e-08,"MYCGRDRAFT_32625/NTC1/MYCGRDRAFT_102177/MYCGRDRAFT_65568/MYCGRDRAFT_29486/MYCGRDRAFT_83726/MYCGRDRAFT_107202/MYCGRDRAFT_66166/MgGlo1/MYCGRDRAFT_66573/MgPME1/MYCGRDRAFT_53825/MYCGRDRAFT_84158/MYCGRDRAFT_67317/PGK1/MgEND1/MYCGRDRAFT_48706/MYCGRDRAFT_76425/MYCGRDRAFT_76524/ABFa/MgAGL5/MYCGRDRAFT_55128/MYCGRDRAFT_28674/MYCGRDRAFT_55400/MYCGRDRAFT_55479/MYCGRDRAFT_37498/MgABFB3/TPI1/MYCGRDRAFT_69205/MYCGRDRAFT_69333/MYCGRDRAFT_85027/MYCGRDRAFT_103601/MgAMY2/PATPB2401/MYCGRDRAFT_70166/MYCGRDRAFT_70268/MgBGL10/MYCGRDRAFT_92237/MgBGL1/MYCGRDRAFT_104004/MgABFA2/MgXBX3/MgBgl8/MYCGRDRAFT_109253/MYCGRDRAFT_41530/MYCGRDRAFT_100252/MgPel2/MYCGRDRAFT_100854/MgABN1/MYCGRDRAFT_74348/MYCGRDRAFT_61250",51,"green","M5"
"GO:0005975","carbohydrate metabolic process","46/231","175/2102",2.0440485397341e-09,3.78148979850809e-07,3.37088706552642e-07,"NTC1/MYCGRDRAFT_98369/MYCGRDRAFT_98377/MYCGRDRAFT_53585/MgPME1/MgXBX1/MgEXG13/PGK1/MgEND1/MYCGRDRAFT_101387/MYCGRDRAFT_76425/ABFa/MYCGRDRAFT_96947/MYCGRDRAFT_101763/MgAGL5/PGM/MgAMY7/MYCGRDRAFT_37166/MgGlgB1/MgABFB3/TPI1/MYCGRDRAFT_69100/MYCGRDRAFT_69281/MYCGRDRAFT_85027/MgAMY2/MYCGRDRAFT_99568/FBP1/MYCGRDRAFT_70268/MgBGL10/MgBGL1/MgABFA2/MgXBX3/MgBgl8/MYCGRDRAFT_100022/MYCGRDRAFT_104277/MYCGRDRAFT_71789/MYCGRDRAFT_71889/MYCGRDRAFT_109531/MYCGRDRAFT_41530/MYCGRDRAFT_100252/MYCGRDRAFT_41900/MgPel2/MYCGRDRAFT_100854/MgABN1/MgCda2/MDH2",46,"green","M5"
"GO:0016052","carbohydrate catabolic process","22/231","53/2102",6.31795603582456e-09,8.76616399970657e-07,7.81431404430932e-07,"NTC1/MgPME1/PGK1/MgEND1/MYCGRDRAFT_76425/ABFa/MgAGL5/MgABFB3/TPI1/MYCGRDRAFT_85027/MgAMY2/MYCGRDRAFT_70268/MgBGL10/MgBGL1/MgABFA2/MgXBX3/MgBgl8/MYCGRDRAFT_41530/MYCGRDRAFT_100252/MgPel2/MYCGRDRAFT_100854/MgABN1",22,"green","M5"
"GO:0009057","macromolecule catabolic process","29/231","98/2102",1.86507844034732e-07,2.07023706878553e-05,1.84544603571209e-05,"MYCGRDRAFT_102177/MYCGRDRAFT_29486/MYCGRDRAFT_66573/MgPME1/MYCGRDRAFT_53825/MgEND1/MYCGRDRAFT_76524/ABFa/MgAGL5/MYCGRDRAFT_55128/MYCGRDRAFT_28674/MYCGRDRAFT_55400/MYCGRDRAFT_55479/MYCGRDRAFT_37498/MgABFB3/PATPB2401/MgBGL10/MgBGL1/MYCGRDRAFT_104004/MgABFA2/MgXBX3/MgBgl8/MYCGRDRAFT_109253/MYCGRDRAFT_100252/MgPel2/MYCGRDRAFT_100854/MgABN1/MYCGRDRAFT_74348/MYCGRDRAFT_61250",29,"green","M5"
"GO:0000272","polysaccharide catabolic process","14/231","28/2102",2.51914135410046e-07,2.33020575254293e-05,2.07718673057407e-05,"MgPME1/MgEND1/ABFa/MgAGL5/MgABFB3/MgBGL10/MgBGL1/MgABFA2/MgXBX3/MgBgl8/MYCGRDRAFT_100252/MgPel2/MYCGRDRAFT_100854/MgABN1",14,"green","M5"
"GO:0044248","cellular catabolic process","39/231","160/2102",4.02197041032248e-07,3.18884796818425e-05,2.84259562834822e-05,"NTC1/MYCGRDRAFT_102177/MYCGRDRAFT_98331/MYCGRDRAFT_65568/MYCGRDRAFT_29486/MYCGRDRAFT_83726/MYCGRDRAFT_107202/MYCGRDRAFT_66166/MgGlo1/MYCGRDRAFT_66573/MYCGRDRAFT_53825/MYCGRDRAFT_31712/MYCGRDRAFT_84158/MYCGRDRAFT_67317/MgPP2Aregb1/MYCGRDRAFT_76259/MYCGRDRAFT_76425/MYCGRDRAFT_76524/C1,2O-2/MYCGRDRAFT_55128/MYCGRDRAFT_28674/MYCGRDRAFT_55479/MYCGRDRAFT_37498/MYCGRDRAFT_108219/MgABFB3/MYCGRDRAFT_69205/MYCGRDRAFT_69333/MYCGRDRAFT_85027/MYCGRDRAFT_103601/MYCGRDRAFT_70166/MYCGRDRAFT_92237/MYCGRDRAFT_104004/MgBgl8/MYCGRDRAFT_71411/MYCGRDRAFT_109253/MYCGRDRAFT_100205/MYCGRDRAFT_100252/MYCGRDRAFT_42149/MYCGRDRAFT_74348",39,"green","M5"
"GO:0005976","polysaccharide metabolic process","15/231","34/2102",7.26411181400082e-07,5.03947757096307e-05,4.49227967444788e-05,"MgPME1/MgEND1/ABFa/MgAGL5/MgGlgB1/MgABFB3/MgBGL10/MgBGL1/MgABFA2/MgXBX3/MgBgl8/MYCGRDRAFT_100252/MgPel2/MYCGRDRAFT_100854/MgABN1",15,"green","M5"
"GO:0044281","small molecule metabolic process","66/231","358/2102",2.32686199420335e-06,0.000143489822975873,0.000127909372780769,"MYCGRDRAFT_64960/MYCGRDRAFT_52059/MYCGRDRAFT_106864/MYCGRDRAFT_98377/MYCGRDRAFT_102306/MYCGRDRAFT_83726/MYCGRDRAFT_107202/MYCGRDRAFT_66166/MgGlo1/MYCGRDRAFT_66280/MYCGRDRAFT_53585/MYCGRDRAFT_98664/MYCGRDRAFT_66750/MYCGRDRAFT_107462/MYCGRDRAFT_53893/MYCGRDRAFT_33206/MYCGRDRAFT_84158/MYCGRDRAFT_98820/MYCGRDRAFT_67317/MYCGRDRAFT_54449/PGK1/MYCGRDRAFT_76205/LAT1/MYCGRDRAFT_76425/ABFa/MYCGRDRAFT_106395/MGSUL5/MYCGRDRAFT_68234/MYCGRDRAFT_103255/MYCGRDRAFT_90926/MYCGRDRAFT_36524/MgABFB3/TPI1/MYCGRDRAFT_69205/MYCGRDRAFT_69244/MYCGRDRAFT_69281/MYCGRDRAFT_69333/PDB1/MYCGRDRAFT_85027/MYCGRDRAFT_99427/MYCGRDRAFT_103601/MYCGRDRAFT_39578/MYCGRDRAFT_38362/LSC2/PDA1/MYCGRDRAFT_70268/MYCGRDRAFT_92237/MYCGRDRAFT_40195/MYCGRDRAFT_104147/MgABFA2/OXD/MYCGRDRAFT_104277/FUM1/MYCGRDRAFT_100210/MYCGRDRAFT_109531/MYCGRDRAFT_41530/MYCGRDRAFT_41900/MYCGRDRAFT_109648/MYCGRDRAFT_93579/MYCGRDRAFT_61156/MYCGRDRAFT_100901/MYCGRDRAFT_110450/MYCGRDRAFT_74864/MDH2/MYCGRDRAFT_95233/MYCGRDRAFT_75829",66,"green","M5"
"GO:1901565","organonitrogen compound catabolic process","23/231","85/2102",2.0321378134664e-05,0.00112783648647385,0.00100537344455706,"MYCGRDRAFT_102177/MYCGRDRAFT_65568/MYCGRDRAFT_29486/MYCGRDRAFT_66166/MYCGRDRAFT_66573/MYCGRDRAFT_53825/MYCGRDRAFT_84158/MYCGRDRAFT_67317/MYCGRDRAFT_76524/MYCGRDRAFT_55128/MYCGRDRAFT_28674/MYCGRDRAFT_55400/MYCGRDRAFT_55479/MYCGRDRAFT_37498/MYCGRDRAFT_69333/MYCGRDRAFT_103601/PATPB2401/MYCGRDRAFT_92237/MYCGRDRAFT_104004/MYCGRDRAFT_109253/MYCGRDRAFT_100854/MYCGRDRAFT_74348/MYCGRDRAFT_61250",23,"green","M5"
"GO:0030163","protein catabolic process","15/231","48/2102",0.000102715878136096,0.00518248294232123,0.00461975719846558,"MYCGRDRAFT_102177/MYCGRDRAFT_29486/MYCGRDRAFT_66573/MYCGRDRAFT_53825/MYCGRDRAFT_76524/MYCGRDRAFT_55128/MYCGRDRAFT_28674/MYCGRDRAFT_55400/MYCGRDRAFT_55479/MYCGRDRAFT_37498/PATPB2401/MYCGRDRAFT_104004/MYCGRDRAFT_109253/MYCGRDRAFT_74348/MYCGRDRAFT_61250",15,"green","M5"
"GO:0006082","organic acid metabolic process","40/231","208/2102",0.000143485143488572,0.00614280728107076,0.00547580734396066,"MYCGRDRAFT_102306/MYCGRDRAFT_83726/MYCGRDRAFT_66166/MgGlo1/MYCGRDRAFT_66750/MYCGRDRAFT_33206/MYCGRDRAFT_84158/MYCGRDRAFT_67317/PGK1/MYCGRDRAFT_76205/LAT1/MYCGRDRAFT_106395/MGSUL5/MYCGRDRAFT_68234/MYCGRDRAFT_103255/MYCGRDRAFT_36524/TPI1/MYCGRDRAFT_69244/MYCGRDRAFT_69333/PDB1/MYCGRDRAFT_99427/MYCGRDRAFT_103601/MYCGRDRAFT_39578/MYCGRDRAFT_38362/PDA1/MYCGRDRAFT_70268/MYCGRDRAFT_92237/MYCGRDRAFT_104147/OXD/FUM1/MYCGRDRAFT_100210/MYCGRDRAFT_41530/MYCGRDRAFT_109648/MYCGRDRAFT_61156/MYCGRDRAFT_100901/MYCGRDRAFT_110450/MYCGRDRAFT_74864/MDH2/MYCGRDRAFT_95233/MYCGRDRAFT_75829",40,"green","M5"
"GO:0019752","carboxylic acid metabolic process","39/231","201/2102",0.000143885575953009,0.00614280728107076,0.00547580734396066,"MYCGRDRAFT_102306/MYCGRDRAFT_83726/MYCGRDRAFT_66166/MgGlo1/MYCGRDRAFT_66750/MYCGRDRAFT_33206/MYCGRDRAFT_84158/MYCGRDRAFT_67317/PGK1/MYCGRDRAFT_76205/LAT1/MYCGRDRAFT_106395/MGSUL5/MYCGRDRAFT_68234/MYCGRDRAFT_103255/MYCGRDRAFT_36524/TPI1/MYCGRDRAFT_69244/MYCGRDRAFT_69333/PDB1/MYCGRDRAFT_99427/MYCGRDRAFT_103601/MYCGRDRAFT_38362/PDA1/MYCGRDRAFT_70268/MYCGRDRAFT_92237/MYCGRDRAFT_104147/OXD/FUM1/MYCGRDRAFT_100210/MYCGRDRAFT_41530/MYCGRDRAFT_109648/MYCGRDRAFT_61156/MYCGRDRAFT_100901/MYCGRDRAFT_110450/MYCGRDRAFT_74864/MDH2/MYCGRDRAFT_95233/MYCGRDRAFT_75829",39,"green","M5"
"GO:0006090","pyruvate metabolic process","7/231","13/2102",0.000170119254895783,0.00674401331908281,0.0060117330677457,"PGK1/LAT1/TPI1/PDB1/PDA1/MYCGRDRAFT_70268/MYCGRDRAFT_41530",7,"green","M5"
"GO:0043436","oxoacid metabolic process","39/231","204/2102",0.000201353147135939,0.00745006644402975,0.00664112134413273,"MYCGRDRAFT_102306/MYCGRDRAFT_83726/MYCGRDRAFT_66166/MgGlo1/MYCGRDRAFT_66750/MYCGRDRAFT_33206/MYCGRDRAFT_84158/MYCGRDRAFT_67317/PGK1/MYCGRDRAFT_76205/LAT1/MYCGRDRAFT_106395/MGSUL5/MYCGRDRAFT_68234/MYCGRDRAFT_103255/MYCGRDRAFT_36524/TPI1/MYCGRDRAFT_69244/MYCGRDRAFT_69333/PDB1/MYCGRDRAFT_99427/MYCGRDRAFT_103601/MYCGRDRAFT_38362/PDA1/MYCGRDRAFT_70268/MYCGRDRAFT_92237/MYCGRDRAFT_104147/OXD/FUM1/MYCGRDRAFT_100210/MYCGRDRAFT_41530/MYCGRDRAFT_109648/MYCGRDRAFT_61156/MYCGRDRAFT_100901/MYCGRDRAFT_110450/MYCGRDRAFT_74864/MDH2/MYCGRDRAFT_95233/MYCGRDRAFT_75829",39,"green","M5"
"GO:0006790","sulfur compound metabolic process","19/231","75/2102",0.000287970401915879,0.00998897331645705,0.00890434795397783,"MYCGRDRAFT_31926/MYCGRDRAFT_65568/MYCGRDRAFT_27852/MYCGRDRAFT_33235/MgGlo1/MYCGRDRAFT_102530/MYCGRDRAFT_66670/MYCGRDRAFT_106395/MGSUL5/MYCGRDRAFT_103255/MYCGRDRAFT_90926/PDB1/MYCGRDRAFT_108479/MYCGRDRAFT_39578/LSC2/PDA1/MYCGRDRAFT_80402/MYCGRDRAFT_41229/MYCGRDRAFT_109648",19,"green","M5"
"GO:0006511","ubiquitin-dependent protein catabolic process","12/231","38/2102",0.000464914195003461,0.014728680399009,0.0131294068990692,"MYCGRDRAFT_102177/MYCGRDRAFT_29486/MYCGRDRAFT_66573/MYCGRDRAFT_53825/MYCGRDRAFT_76524/MYCGRDRAFT_55128/MYCGRDRAFT_28674/MYCGRDRAFT_55479/MYCGRDRAFT_37498/MYCGRDRAFT_104004/MYCGRDRAFT_109253/MYCGRDRAFT_74348",12,"green","M5"
"GO:0044262","cellular carbohydrate metabolic process","11/231","33/2102",0.000477686931859752,0.014728680399009,0.0131294068990692,"NTC1/MYCGRDRAFT_53585/MYCGRDRAFT_76425/MgGlgB1/MgABFB3/MYCGRDRAFT_85027/MgBgl8/MYCGRDRAFT_104277/MYCGRDRAFT_109531/MYCGRDRAFT_100252/MYCGRDRAFT_41900",11,"green","M5"
"GO:0019941","modification-dependent protein catabolic process","12/231","39/2102",0.000607155774526538,0.017735339729591,0.0158095963450123,"MYCGRDRAFT_102177/MYCGRDRAFT_29486/MYCGRDRAFT_66573/MYCGRDRAFT_53825/MYCGRDRAFT_76524/MYCGRDRAFT_55128/MYCGRDRAFT_28674/MYCGRDRAFT_55479/MYCGRDRAFT_37498/MYCGRDRAFT_104004/MYCGRDRAFT_109253/MYCGRDRAFT_74348",12,"green","M5"
"GO:0043632","modification-dependent macromolecule catabolic process","12/231","41/2102",0.00100256608559832,0.025292008068503,0.0225457445086703,"MYCGRDRAFT_102177/MYCGRDRAFT_29486/MYCGRDRAFT_66573/MYCGRDRAFT_53825/MYCGRDRAFT_76524/MYCGRDRAFT_55128/MYCGRDRAFT_28674/MYCGRDRAFT_55479/MYCGRDRAFT_37498/MYCGRDRAFT_104004/MYCGRDRAFT_109253/MYCGRDRAFT_74348",12,"green","M5"
"GO:0051603","proteolysis involved in cellular protein catabolic process","12/231","41/2102",0.00100256608559832,0.025292008068503,0.0225457445086703,"MYCGRDRAFT_102177/MYCGRDRAFT_29486/MYCGRDRAFT_66573/MYCGRDRAFT_53825/MYCGRDRAFT_76524/MYCGRDRAFT_55128/MYCGRDRAFT_28674/MYCGRDRAFT_55479/MYCGRDRAFT_37498/MYCGRDRAFT_104004/MYCGRDRAFT_109253/MYCGRDRAFT_74348",12,"green","M5"
"GO:1901615","organic hydroxy compound metabolic process","12/231","41/2102",0.00100256608559832,0.025292008068503,0.0225457445086703,"MgSCY1/MgGlo1/MYCGRDRAFT_107462/MYCGRDRAFT_98820/MYCGRDRAFT_54449/MYCGRDRAFT_76425/C1,2O-2/MYCGRDRAFT_85027/MYCGRDRAFT_104277/MYCGRDRAFT_109531/MYCGRDRAFT_41900/MYCGRDRAFT_75965",12,"green","M5"
"GO:0044257","cellular protein catabolic process","12/231","42/2102",0.00126923213960561,0.0302235647178383,0.0269418215597611,"MYCGRDRAFT_102177/MYCGRDRAFT_29486/MYCGRDRAFT_66573/MYCGRDRAFT_53825/MYCGRDRAFT_76524/MYCGRDRAFT_55128/MYCGRDRAFT_28674/MYCGRDRAFT_55479/MYCGRDRAFT_37498/MYCGRDRAFT_104004/MYCGRDRAFT_109253/MYCGRDRAFT_74348",12,"green","M5"
"GO:0010638","positive regulation of organelle organization","7/231","17/2102",0.00130696496077139,0.0302235647178383,0.0269418215597611,"ARP2401/MYCGRDRAFT_107306/MgPP2Aregb1/MYCGRDRAFT_84675/MYCGRDRAFT_71957/MYCGRDRAFT_72463/NFA2401",7,"green","M5"
"GO:0019751","polyol metabolic process","6/231","13/2102",0.00145635467153656,0.0323310737081116,0.0288204924472498,"MYCGRDRAFT_107462/MYCGRDRAFT_76425/MYCGRDRAFT_85027/MYCGRDRAFT_104277/MYCGRDRAFT_109531/MYCGRDRAFT_41900",6,"green","M5"
"GO:0006066","alcohol metabolic process","8/231","23/2102",0.00212705814170016,0.0454045103324457,0.0404743856922702,"MYCGRDRAFT_107462/MYCGRDRAFT_98820/MYCGRDRAFT_54449/MYCGRDRAFT_76425/MYCGRDRAFT_85027/MYCGRDRAFT_104277/MYCGRDRAFT_109531/MYCGRDRAFT_41900",8,"green","M5"
"GO:0051495","positive regulation of cytoskeleton organization","5/231","10/2102",0.00243310457512504,0.0465645875584276,0.0415084991037666,"ARP2401/MYCGRDRAFT_84675/MYCGRDRAFT_71957/MYCGRDRAFT_72463/NFA2401",5,"green","M5"
"GO:0051983","regulation of chromosome segregation","5/231","10/2102",0.00243310457512504,0.0465645875584276,0.0415084991037666,"MYCGRDRAFT_107306/MgPP2Aregb1/MYCGRDRAFT_84675/MgPP2AregA/GSK3",5,"green","M5"
"GO:1902905","positive regulation of supramolecular fiber organization","5/231","10/2102",0.00243310457512504,0.0465645875584276,0.0415084991037666,"ARP2401/MYCGRDRAFT_84675/MYCGRDRAFT_71957/MYCGRDRAFT_72463/NFA2401",5,"green","M5"
"GO:0007005","mitochondrion organization","7/59","47/2102",0.000250084756473742,0.0381882528335772,0.0325413683293641,"MYCGRDRAFT_102272/MYCGRDRAFT_96217/MYCGRDRAFT_31040/MYCGRDRAFT_70050/MYCGRDRAFT_108883/MYCGRDRAFT_100205/MYCGRDRAFT_100323",7,"greenyellow","M11"
"GO:0006629","lipid metabolic process","14/59","179/2102",0.000275928864299237,0.0381882528335772,0.0325413683293641,"MYCGRDRAFT_107391/MYCGRDRAFT_34335/MYCGRDRAFT_111085/MYCGRDRAFT_111474/MYCGRDRAFT_14586/MYCGRDRAFT_107996/MYCGRDRAFT_99123/ERG25/CYP-70/MYCGRDRAFT_69093/ERG1/TH1/ERG3/MYCGRDRAFT_62470",14,"greenyellow","M11"
"GO:0006839","mitochondrial transport","5/59","24/2102",0.000414411529212739,0.0381882528335772,0.0325413683293641,"MYCGRDRAFT_31040/MYCGRDRAFT_13719/MYCGRDRAFT_70050/MYCGRDRAFT_108883/MYCGRDRAFT_100323",5,"greenyellow","M11"
"GO:1990542","mitochondrial transmembrane transport","4/59","14/2102",0.000454622057542586,0.0381882528335772,0.0325413683293641,"MYCGRDRAFT_31040/MYCGRDRAFT_13719/MYCGRDRAFT_70050/MYCGRDRAFT_108883",4,"greenyellow","M11"
"GO:0070585","protein localization to mitochondrion","4/59","16/2102",0.000792465108896143,0.0392113831569652,0.0334132087051834,"MYCGRDRAFT_31040/MYCGRDRAFT_70050/MYCGRDRAFT_108883/MYCGRDRAFT_100323",4,"greenyellow","M11"
"GO:0072655","establishment of protein localization to mitochondrion","4/59","16/2102",0.000792465108896143,0.0392113831569652,0.0334132087051834,"MYCGRDRAFT_31040/MYCGRDRAFT_70050/MYCGRDRAFT_108883/MYCGRDRAFT_100323",4,"greenyellow","M11"
"GO:0008610","lipid biosynthetic process","9/59","92/2102",0.000816903815770108,0.0392113831569652,0.0334132087051834,"MYCGRDRAFT_111085/MYCGRDRAFT_111474/MYCGRDRAFT_107996/MYCGRDRAFT_99123/ERG25/CYP-70/MYCGRDRAFT_69093/ERG1/ERG3",9,"greenyellow","M11"
"GO:0044550","secondary metabolite biosynthetic process","13/171","23/2102",2.45409317565621e-09,1.10679602222095e-06,1.10046704508373e-06,"MYCGRDRAFT_89178/MYCGRDRAFT_23189/MYCGRDRAFT_27270/MYCGRDRAFT_30771/MYCGRDRAFT_111476/PKS8/MYCGRDRAFT_25795/MYCGRDRAFT_18432/MYCGRDRAFT_28978/MYCGRDRAFT_92614/MYCGRDRAFT_40021/MYCGRDRAFT_93099/MYCGRDRAFT_104414",13,"turquoise","M1"
"GO:0019748","secondary metabolic process","13/171","24/2102",4.97819229951983e-09,1.12258236354172e-06,1.11616311557655e-06,"MYCGRDRAFT_89178/MYCGRDRAFT_23189/MYCGRDRAFT_27270/MYCGRDRAFT_30771/MYCGRDRAFT_111476/PKS8/MYCGRDRAFT_25795/MYCGRDRAFT_18432/MYCGRDRAFT_28978/MYCGRDRAFT_92614/MYCGRDRAFT_40021/MYCGRDRAFT_93099/MYCGRDRAFT_104414",13,"turquoise","M1"
"GO:0009403","toxin biosynthetic process","10/171","16/2102",5.14166128429397e-08,3.8648153986943e-06,3.84271527563023e-06,"MYCGRDRAFT_89178/MYCGRDRAFT_27270/MYCGRDRAFT_30771/MYCGRDRAFT_25795/MYCGRDRAFT_18432/MYCGRDRAFT_28978/MYCGRDRAFT_92614/MYCGRDRAFT_40021/MYCGRDRAFT_93099/MYCGRDRAFT_104414",10,"turquoise","M1"
"GO:0009404","toxin metabolic process","10/171","16/2102",5.14166128429397e-08,3.8648153986943e-06,3.84271527563023e-06,"MYCGRDRAFT_89178/MYCGRDRAFT_27270/MYCGRDRAFT_30771/MYCGRDRAFT_25795/MYCGRDRAFT_18432/MYCGRDRAFT_28978/MYCGRDRAFT_92614/MYCGRDRAFT_40021/MYCGRDRAFT_93099/MYCGRDRAFT_104414",10,"turquoise","M1"
"GO:0043385","mycotoxin metabolic process","10/171","16/2102",5.14166128429397e-08,3.8648153986943e-06,3.84271527563023e-06,"MYCGRDRAFT_89178/MYCGRDRAFT_27270/MYCGRDRAFT_30771/MYCGRDRAFT_25795/MYCGRDRAFT_18432/MYCGRDRAFT_28978/MYCGRDRAFT_92614/MYCGRDRAFT_40021/MYCGRDRAFT_93099/MYCGRDRAFT_104414",10,"turquoise","M1"
